Apex_RT,ID,Peak,Area,file
7.33,SPMEn57,5,16030580.401,201103
8.27,SPMEn57,6,301260.876,201103
10.57,SPMEn57,8,303422.786,201103
10.71,SPMEn57,9,4640417.235,201103
11.05,SPMEn57,11,534482.781,201103
11.4,SPMEn57,12,931338.252,201103
12.07,SPMEn57,14,2500674.998,201103
12.23,SPMEn57,15,4473888.071,201103
13.08,SPMEn57,18,578925.001,201103
13.27,SPMEn57,20,448831.651,201103
13.53,SPMEn57,21,1312004.102,201103
13.66,SPMEn57,24,845354.4,201103
13.82,SPMEn57,26,43937509.313,201103
17.76,SPMEn57,41,124300.458,201103
20.92,SPMEn57,46,1101142.989,201103
6.74,SPMEn58,3,9463435.133,201103
11.05,SPMEn58,11,427842.693,201103
12.22,SPMEn58,15,1179586.097,201103
13.8,SPMEn58,25,1548257.077,201103
7.07,SPMEn59,4,126300.059,201103
7.33,SPMEn59,5,2910815.774,201103
8.28,SPMEn59,6,95344.977,201103
11.37,SPMEn59,12,89063.407,201103
12.22,SPMEn59,15,14201635.863,201103
13.07,SPMEn59,18,586882.568,201103
13.53,SPMEn59,21,7633723.35,201103
13.86,SPMEn59,26,24521831.256,201103
14.09,SPMEn59,27,563417.566,201103
15.99,SPMEn59,36,2753314.626,201103
17.76,SPMEn59,41,272611.485,201103
7.33,SPMEn60,5,273049.3,201103
8.28,SPMEn60,6,186871.264,201103
11.04,SPMEn60,11,85725.891,201103
11.39,SPMEn60,12,229015.914,201103
12.22,SPMEn60,15,3726614.654,201103
13.07,SPMEn60,18,169860.205,201103
13.53,SPMEn60,21,2965472.353,201103
13.85,SPMEn60,26,9209646.154,201103
14.09,SPMEn60,27,476412.766,201103
15.99,SPMEn60,36,3288202.937,201103
17.76,SPMEn60,41,1994451.164,201103
20.92,SPMEn60,46,1167293.065,201103
5.97,SPMEn61,2,559509.882,201103
6.74,SPMEn61,3,4721440.612,201103
12.06,SPMEn61,14,1733449.494,201103
12.22,SPMEn61,15,5015124.612,201103
13.51,SPMEn61,21,2176098.341,201103
13.8,SPMEn61,26,63158006.073,201103
16.51,SPMEn61,37,175688.984,201103
20.91,SPMEn61,46,200654.441,201103
11.05,SPMEn62,11,727782.297,201103
12.2,SPMEn62,15,792176.401,201103
17.76,SPMEn62,41,165262.508,201103
11.05,SPMEn63,11,390106.109,201103
15.1,SPMEn63,31,376099.721,201103
5.26,SPMEn75,1,8315197.726,201103
5.95,SPMEn75,2,1858918.824,201103
6.72,SPMEn75,3,27798269.923,201103
7.07,SPMEn75,4,176035.059,201103
7.31,SPMEn75,5,681824.253,201103
11.04,SPMEn75,11,2718066.285,201103
11.37,SPMEn75,12,468972.533,201103
12.06,SPMEn75,14,3500069.783,201103
12.2,SPMEn75,15,8282384.149,201103
12.9,SPMEn75,17,1200787.929,201103
13.06,SPMEn75,18,448404.761,201103
13.17,SPMEn75,19,974052.684,201103
13.51,SPMEn75,21,3115604.013,201103
13.65,SPMEn75,24,3307151.515,201103
13.79,SPMEn75,25,3409086.593,201103
13.85,SPMEn75,26,5816400.389,201103
14.08,SPMEn75,27,2619244.869,201103
14.25,SPMEn75,28,7532265.208,201103
14.52,SPMEn75,29,334052.525,201103
14.69,SPMEn75,30,443130.737,201103
15.09,SPMEn75,31,1322740.604,201103
15.5,SPMEn75,33,30208873.151,201103
