Sample.ID,Species,Pot.ID,Syringe.no.,Sample.type,type,Acclimation.start,Collection.start,Collection.end,Date,ID,3.Hexen.1.ol,3.Hexen.1.ol.benzoate,3.Hexenyl.acetate,3.Phenyl.1.propanol.acetate,4.Methoxybenzaldehyde,4.Oxoisophorone,A.Caryophyllene,A.Farnesene,A.Farnesene.Z.E,A.Phellandrene,B.Cubebene,B.Elemene,B.Farnesene,B.Phellandrene,B.Selinene,Benzaldehyde,Benzenepropanol,Benzophenone,Benzyl.alcohol,Benzyl.benzoate,Benzyl.tiglate,Caryophyllene,Caryophyllene.oxide,Cinnamaldehyde,Cinnamyl.acetate,Cinnamyl.alcohol,Cis.3.Hexenyl.isovalerate,Cis.Beta.Ocimene,Cis.jasmone,Copaene,Eucalyptol,Eugenol,G.Muurolene,Isoamyl.benzoate,Jasmine.lactone,Lilac.alcohol.1,Lilac.alcohol.2,Lilac.alcohol.3,Lilac.alcohol.4,Linalool,Methyl.salicylate,Phenethyl.benzoate,Phenylethyl.acetate,Phenylethyl.alcohol,Trans.Beta.Ocimene,Unknown.terpenoid.1,Unknown.terpenoid.2,Total
1,HET,D,42,Bud,floral,09:51,10:37,11:37,200609,SPMEn61,0,0,0,0,0,0,0,63158006.07,0,559509.882,0,1733449.494,0,0,0,0,0,200654.441,0,0,0,5015124.612,175688.984,0,0,0,0,0,0,0,4721440.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176098.341,77739972.44
2,HET,C,44,Bud,floral,09:53,10:38,11:38,200609,SPMEn57,0,124300.458,301260.876,0,0,0,578925.001,43937509.31,0,0,0,2500674.998,0,0,845354.4,0,0,1101142.989,0,0,0,4473888.071,0,0,0,0,4640417.235,0,0,0,0,0,448831.651,0,0,0,0,0,0,931338.252,0,0,0,0,16030580.4,303422.786,1312004.102,77529650.53
3,HET,B,38,Bud,floral,09:55,10:38,11:38,200609,SPMEn58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179586.097,0,0,0,0,0,0,0,0,9463435.133,0,0,0,0,0,1548257.077,0,0,0,0,0,0,0,0,0,0,12191278.31
4,HET,D,26,Leaf,floral,09:55,10:39,11:38,200609,SPMEn60,0,1994451.164,186871.264,0,0,0,169860.205,9209646.154,0,0,0,0,0,0,0,0,0,1167293.065,0,0,0,3726614.654,0,0,0,0,0,0,3288202.937,0,0,0,0,0,0,0,0,0,0,229015.914,476412.766,0,0,0,273049.3,0,2965472.353,23686889.78
5,HET,C,25,Leaf,floral,09:57,10:40,11:38,200609,SPMEn62,0,165262.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792176.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957438.91
6,HET,B,99,Leaf,floral,09:57,10:42,11:39,200609,SPMEn59,0,272611.485,95344.977,0,0,0,586882.568,24521831.26,0,0,0,0,0,0,0,0,0,0,0,0,0,14201635.86,0,0,0,0,0,126300.059,2753314.626,0,0,0,0,0,0,0,0,0,0,89063.407,563417.566,0,0,0,2910815.774,0,7633723.35,53754940.93
9,OLE,L,2,Leaf,floral,10:56,11:40,12:43,200616,SPMEn82,0,1406085.265,1552130.44,0,0,0,1324436.705,26726324.44,320717.563,0,0,1853505.746,250920.411,0,3614852.333,0,0,0,0,0,0,22841653.83,0,0,0,0,0,0,8592460.023,0,0,0,1461529.176,0,0,0,0,0,0,0,0,0,0,0,1359265.086,0,2693290.029,73997171.05
10,OLE,I,30,Bud,floral,10:57,11:40,12:43,200616,SPMEn77,521814.043,812267.579,4609542.82,0,0,0,6647598.087,12917647.88,500465.666,68831.514,0,147539748.9,33943191.53,0,68321183.78,624232.109,0,0,0,0,0,65512472.95,2907551.98,0,0,0,0,8465921.127,0,260015.274,0,0,36759263.24,0,0,0,0,0,0,16393142.42,0,0,0,253676.537,68495626.33,392949.627,7610441.64,483557585.06
11,OLE,I,25,Leaf,floral,10:58,11:41,12:43,200616,SPMEn79,369056.407,688822.292,2908994.618,0,0,0,1272281.276,12996313.48,69665.229,0,0,0,0,0,0,15956.827,0,0,0,0,0,21007491.78,808848.638,0,0,0,0,0,3799860.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861004.167,0,0,44798294.85
12,OLE,J,38,Leaf,floral,11:00,11:41,12:43,200616,SPMEn78,414014.134,3010178.091,15137325.4,0,0,0,1979534.965,21112541.9,228056.691,0,0,2791123.388,1251677.524,0,536961.358,0,0,0,0,204223.291,0,32556744.91,0,0,0,0,11004422.49,0,10760187.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358663.292,0,393782.638,102739437.54
