Sample.ID,Species,Pot.ID,Syringe.no.,Sample.type,type,Acclimation.start,Collection.start,Collection.end,Date,ID,3.Hexen.1.ol,3.Hexen.1.ol.benzoate,3.Hexenyl.acetate,3.Phenyl.1.propanol.acetate,4.Methoxybenzaldehyde,4.Oxoisophorone,A.Caryophyllene,A.Farnesene,A.Farnesene.Z.E,A.Phellandrene,B.Cubebene,B.Elemene,B.Farnesene,B.Phellandrene,B.Selinene,Benzaldehyde,Benzenepropanol,Benzophenone,Benzyl.alcohol,Benzyl.benzoate,Benzyl.tiglate,Caryophyllene,Caryophyllene.oxide,Cinnamaldehyde,Cinnamyl.acetate,Cinnamyl.alcohol,Cis.3.Hexenyl.isovalerate,Cis.Beta.Ocimene,Cis.jasmone,Copaene,Eucalyptol,Eugenol,G.Muurolene,Isoamyl.benzoate,Jasmine.lactone,Lilac.alcohol.1,Lilac.alcohol.2,Lilac.alcohol.3,Lilac.alcohol.4,Linalool,Methyl.salicylate,Phenethyl.benzoate,Phenylethyl.acetate,Phenylethyl.alcohol,Trans.Beta.Ocimene,Unknown.terpenoid.1,Unknown.terpenoid.2
1,HET,D,42,Bud,floral,0.410416667,0.442361111,0.484027778,200609,SPMEn61,0,0,0,0,0,0,0,0.812426402,0,0.007197197,0,0.022298046,0,0,0,0,0,0.002581097,0,0,0,0.064511531,0.002259957,0,0,0,0,0,0,0,0.060733757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027992013
2,HET,C,44,Bud,floral,0.411805556,0.443055556,0.484722222,200609,SPMEn57,0,0.001603263,0.00388575,0,0,0,0.007467143,0.566718785,0,0,0,0.032254434,0,0,0.010903627,0,0,0.014202863,0,0,0,0.057705511,0,0,0,0,0.059853452,0,0,0,0,0,0.005789161,0,0,0,0,0,0,0.012012672,0,0,0,0,0.206767092,0.003913635,0.016922611
3,HET,B,38,Bud,floral,0.413194444,0.443055556,0.484722222,200609,SPMEn58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096756556,0,0,0,0,0,0,0,0,0.776246337,0,0,0,0,0,0.126997107,0,0,0,0,0,0,0,0,0,0
4,HET,D,26,Leaf,floral,0.413194444,0.44375,0.484722222,200609,SPMEn60,0,0.084200635,0.007889228,0,0,0,0.007171064,0.388807743,0,0,0,0,0,0,0,0,0,0.049280132,0,0,0,0.157328154,0,0,0,0,0,0,0.138819531,0,0,0,0,0,0,0,0,0,0,0.009668467,0.02011293,0,0,0,0.011527444,0,0.12519467
5,HET,C,25,Leaf,floral,0.414583333,0.444444444,0.484722222,200609,SPMEn62,0,0.172608932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827391068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HET,B,99,Leaf,floral,0.414583333,0.445833333,0.485416667,200609,SPMEn59,0,0.005071375,0.001773697,0,0,0,0.010917742,0.456178183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264192195,0,0,0,0,0,0.002349553,0.05121975,0,0,0,0,0,0,0,0,0,0,0.001656841,0.010481224,0,0,0,0.054149734,0,0.142009706
9,OLE,L,2,Leaf,floral,0.455555556,0.486111111,0.529861111,200616,SPMEn82,0,0.019001879,0.020975538,0,0,0,0.017898478,0.361180354,0.004334187,0,0,0.025048333,0.003390946,0,0.048851223,0,0,0,0,0,0,0.308682798,0,0,0,0,0,0,0.116118764,0,0,0,0.019751149,0,0,0,0,0,0,0,0,0,0,0,0.018369149,0,0.036397203
10,OLE,I,30,Bud,floral,0.45625,0.486111111,0.529861111,200616,SPMEn77,0.001079115,0.001679774,0.009532562,0,0,0,0.013747273,0.026713774,0.001034966,0.000142344,0,0.30511309,0.070194725,0,0.14128862,0.001290916,0,0,0,0,0,0.135480189,0.006012835,0,0,0,0,0.017507576,0,0.000537713,0,0,0.076018378,0,0,0,0,0,0,0.033901117,0,0,0,0.000524605,0.141649368,0.000812622,0.015738439
11,OLE,I,25,Leaf,floral,0.456944444,0.486805556,0.529861111,200616,SPMEn79,0.00823818,0.015376083,0.064935387,0,0,0,0.028400217,0.290107325,0.001555087,0,0,0,0,0,0,0.000356193,0,0,0,0,0,0.468935076,0.018055344,0,0,0,0,0,0.084821535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019219575,0,0
12,OLE,J,38,Leaf,floral,0.458333333,0.486805556,0.529861111,200616,SPMEn78,0.004029749,0.029299149,0.147337048,0,0,0,0.019267528,0.205495985,0.002219758,0,0,0.027167011,0.012183029,0,0.005226439,0,0,0,0,0.001987779,0,0.31688654,0,0,0,0,0.107110013,0,0.104732785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01322436,0,0.003832828
