"","Sample.ID","Species","Pot.ID","Syringe.no.","Sample.type","Acclimation.start","Collection.start","Collection.end","Date","ID","3.Hexen.1.ol","3.Hexen.1.ol.benzoate","3.Hexenyl.acetate","4.Methoxybenzaldehyde","4.oxoisophorone","A.caryophyllene","A.cubebene","A.farnesene","B-farnesene","Benzaldehyde","Benzenepropanol","Benzophenone","Benzyl alcohol","Benzyl.benzoate","Benzyl.tiglate","Caryophyllene","Caryophyllene.oxide","Cinnamaldehyde","Cinnamyl.alcohol","Cis.3.Hexenyl.benzoate","Cis.Beta.Ocimene","Cis.jasmone","Copaene","Elemene derivative.1","Elemene derivative.2","Eucalyptol","Eugenol","Germacrene.D","Isoamyl benzoate","Jasmine.lactone","Lilac.alcohol.2","Lilac.alcohol.3","Lilac.alcohol.4","Linalool","Methyl.salicylate","Phenethyl.benzoate","Phenylethyl.acetate","Phenylethyl.alcohol"
"1",1,"HET","D",42,"Bud","09:51","10:37","11:37",200609,"SPMEn61",0,0,0,0,0,0,0,2095671.295,0,0,0,239880.948,0,0,0,4884425.161,0,0,0,0,0,0,0,1573674.603,0,4397012.426,0,2041264.855,0,0,68015501.309,0,0,0,0,0,0,0
"2",2,"HET","C",44,"Bud","09:53","10:38","11:38",200609,"SPMEn57",0,0,0,0,0,614198.718,462163.023,0,0,628582.201,0,0,0,0,0,4684070.199,0,0,0,0,15982841.622,0,462163.023,2581035.431,0,0,0,0,0,0,44002630.359,0,0,0,0,0,0,0
"3",3,"HET","B",38,"Bud","09:55","10:38","11:38",200609,"SPMEn58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316677.257,0,0,0,0,0,0,0,0,0,10040110.916,0,0,0,0,1541890.767,0,0,0,0,0,0,0
"4",4,"HET","D",26,"Leaf","09:55","10:39","11:38",200609,"SPMEn60",0,0,0,0,0,0,0,7752584.661,9183272.751,0,0,1239932.461,0,0,0,3857951.941,0,0,0,2044529.723,534599.447,3327178.647,0,0,0,0,0,2965569.631,0,0,0,0,0,0,478861.058,0,0,0
"5",5,"HET","C",25,"Leaf","09:57","10:40","11:38",200609,"SPMEn62",0,0,0,0,0,0,0,3957650.655,0,0,0,0,0,0,0,0,0,0,0,163236.204,0,913802.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,"HET","B",99,"Leaf","09:57","10:42","11:39",200609,"SPMEn59",0,0,0,0,0,573650.458,0,2514523.43,24554931.209,0,0,0,0,0,0,14225915.915,0,0,0,217533.192,2974699.434,2841606.302,0,0,0,0,0,7584573.178,0,0,0,0,0,0,425749.522,0,0,0
"7",7,"CTRL","",30,"","09:53","10:43","11:39",200609,"SPMEn63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"CTRL","",28,"","10:55","11:40","12:43",200616,"SPMEn81",0,0,0,0,0,0,0,0,0,0,0,0,532502.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"OLE","L",2,"Leaf","10:56","11:40","12:43",200616,"SPMEn82",0,1453892.204,0,0,0,1331864.738,1601256.032,0,26602197.272,0,0,0,0,0,0,22963302.376,1848569.77,0,0,0,1824955.331,9171465.97,1601256.032,1644185.934,3717576.475,0,0,2693290.029,0,0,682822.842,0,0,0,0,0,0,0
"10",10,"OLE","I",30,"Bud","10:57","11:40","12:43",200616,"SPMEn77",0,911273.06,0,0,0,6621057.406,37049749.193,34216647.135,13084417.052,1075765.919,0,0,0,0,0,66880594.23,2901178.036,0,0,0,78074284.593,0,37049749.193,163059129.956,53937012.731,0,0,7549853.296,0,0,0,0,0,16457563.039,5974274.239,0,0,0
