"","ID","file","3.Hexen.1.ol","3.Hexen.1.ol.benzoate","3.Hexenyl.acetate","3.Phenyl.1.propanol.acetate","4.Methoxybenzaldehyde","4.Oxoisophorone","A.Caryophyllene","A.Farnesene","A.Farnesene.Z.E","A.Phellandrene","B.Cubebene","B.Elemene","B.Farnesene","B.Phellandrene","B.Selinene","Benzaldehyde","Benzenepropanol","Benzophenone","Benzyl.alcohol","Benzyl.benzoate","Benzyl.tiglate","Caryophyllene","Caryophyllene.oxide","Cinnamaldehyde","Cinnamyl.acetate","Cinnamyl.alcohol","Cis.3.Hexenyl.isovalerate","Cis.Beta.Ocimene","Cis.jasmone","Copaene","Eucalyptol","Eugenol","G.Muurolene","Isoamyl.benzoate","Jasmine.lactone","Lilac.alcohol.1","Lilac.alcohol.2","Lilac.alcohol.3","Lilac.alcohol.4","Linalool","Methyl.salicylate","Phenethyl.benzoate","Phenylethyl.acetate","Phenylethyl.alcohol","Trans.Beta.Ocimene","Unknown.terpenoid.1","Unknown.terpenoid.2"
"1","SPMEn100",201103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97479.099,0,0,312295.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","SPMEn57",201103,0,124300.458,301260.876,0,0,0,578925.001,43937509.313,0,0,0,2500674.998,0,0,845354.4,534482.781,0,1101142.989,0,0,0,4473888.071,0,0,0,0,4640417.235,0,0,0,0,0,448831.651,0,0,0,0,0,0,931338.252,0,0,0,0,16030580.401,303422.786,1312004.102
"3","SPMEn58",201103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427842.693,0,0,0,0,0,1179586.097,0,0,0,0,0,0,0,0,9463435.133,0,0,0,0,0,1548257.077,0,0,0,0,0,0,0,0,0,0
"4","SPMEn59",201103,0,272611.485,95344.977,0,0,0,586882.568,24521831.256,0,0,0,0,0,0,0,0,0,0,0,0,0,14201635.863,0,0,0,0,0,126300.059,2753314.626,0,0,0,0,0,0,0,0,0,0,89063.407,563417.566,0,0,0,2910815.774,0,7633723.35
"5","SPMEn60",201103,0,1994451.164,186871.264,0,0,0,169860.205,9209646.154,0,0,0,0,0,0,0,85725.891,0,1167293.065,0,0,0,3726614.654,0,0,0,0,0,0,3288202.937,0,0,0,0,0,0,0,0,0,0,229015.914,476412.766,0,0,0,273049.3,0,2965472.353
"6","SPMEn61",201103,0,0,0,0,0,0,0,63158006.073,0,559509.882,0,1733449.494,0,0,0,0,0,200654.441,0,0,0,5015124.612,175688.984,0,0,0,0,0,0,0,4721440.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176098.341
"7","SPMEn62",201103,0,165262.508,0,0,0,0,0,0,0,0,0,0,0,0,0,727782.297,0,0,0,0,0,792176.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","SPMEn63",201103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390106.109,0,0,376099.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","SPMEn75",201103,0,338809.07,0,2266579.126,2359275.133,974052.684,448404.761,5816400.389,0,1858918.824,0,3500069.783,1200787.929,8315197.726,3307151.515,2718066.285,46537632.436,254221.466,1322740.604,0,651913.252,8282384.149,0,0,0,839089.179,0,176035.059,144874.506,0,27798269.923,1524674.952,0,5954012.34,0,0,3409086.593,7532265.208,443130.737,468972.533,2619244.869,2954275.321,334052.525,30208873.151,681824.253,0,3115604.013
"10","SPMEn76",201103,0,0,0,0,0,0,19821101.119,38792241.497,639904.947,2010526.997,591692.771,511876533.08,19121711.785,199586.296,188856856.185,90123.41,0,2434431.528,0,0,0,203759690.906,1275593.187,0,0,0,0,5683251.228,0,1986340.684,5251493.511,0,47446238.258,0,0,0,0,0,0,2035842.983,18508586.176,0,0,441035.646,49343347.472,0,36396286.1
"11","SPMEn77",201103,521814.043,812267.579,4609542.82,0,0,0,6647598.087,12917647.876,500465.666,68831.514,0,147539748.946,33943191.528,0,68321183.776,624232.109,0,432709.563,0,0,0,65512472.949,2907551.98,0,0,0,0,8465921.127,0,260015.274,0,0,36759263.235,0,0,0,0,0,0,16393142.415,0,0,0,253676.537,68495626.328,392949.627,7610441.64
"12","SPMEn78",201103,414014.134,3010178.091,15137325.397,0,0,0,1979534.965,21112541.896,228056.691,0,0,2791123.388,1251677.524,0,536961.358,0,0,48808.421,0,204223.291,0,32556744.913,0,0,0,0,11004422.488,0,10760187.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358663.292,0,393782.638
"13","SPMEn79",201103,369056.407,688822.292,2908994.618,0,0,0,1272281.276,12996313.484,69665.229,0,0,0,0,0,0,15956.827,0,0,0,0,0,21007491.777,808848.638,0,0,0,0,0,3799860.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861004.167,0,0
"14","SPMEn80",201103,0,428890.716,0,1319241.791,0,290261.209,2047871.56,0,0,497763.587,846652.416,3201246.039,545397.314,0,0,932240.471,55742636.364,0,3240612.652,22391979.175,12411318.633,16830101.759,0,286379.631,1034661.589,77302647.356,0,397648.021,0,1800870.033,0,1212750.185,0,371243.933,4812421.728,1900550.785,8707502.544,10241036.926,1013687.577,4446105.748,838854.179,1920557.18,0,4540302.461,25262978.418,0,7828705.706
"15","SPMEn81",201103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131866.935,410246.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","SPMEn82",201103,0,1406085.265,1552130.44,0,0,0,1324436.705,26726324.44,320717.563,0,0,1853505.746,250920.411,0,3614852.333,0,0,0,0,0,0,22841653.829,0,0,0,0,0,0,8592460.023,0,0,0,1461529.176,0,0,0,0,0,0,0,0,0,0,0,1359265.086,0,2693290.029
